ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
7,"$40,000-$44,999",2017,"2017",1744,310,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.03690068130845076
15,"$200,000+",2017,"2017",4255,456.00000000000006,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.09003004527950573
14,"$150,000-$199,999",2017,"2017",2406,341,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.050907705979433795
1,"$10,000-$14,999",2017,"2017",5768114,16409,"United States","01000US","united-states",0.04854255663627467
13,"$125,000-$149,999",2017,"2017",2146,382,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.04540645761922898
2,"$15,000-$19,999",2017,"2017",5727180,16801,"United States","01000US","united-states",0.04819806951043956
12,"$100,000-$124,999",2017,"2017",2983,410,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.06311624560958064
3,"$20,000-$24,999",2017,"2017",5910725,17864,"United States","01000US","united-states",0.04974272406438996
11,"$75,000-$99,999",2017,"2017",4353,523,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.09210359273835217
4,"$25,000-$29,999",2017,"2017",5619002,16113.000000000002,"United States","01000US","united-states",0.04728767892318714
10,"$60,000-$74,999",2017,"2017",4077,534,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.08626380601751936
5,"$30,000-$34,999",2017,"2017",5711286,15891,"United States","01000US","united-states",0.04806431081649264
9,"$50,000-$59,999",2017,"2017",2914,481,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.06165629892937243
6,"$35,000-$39,999",2017,"2017",5332778,16488,"United States","01000US","united-states",0.044878911563412165
8,"$45,000-$49,999",2017,"2017",1124,257,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.023782319834116203
7,"$40,000-$44,999",2017,"2017",5354520,15415.000000000002,"United States","01000US","united-states",0.04506188510838473
0,"< $10,000",2017,"2017",7942251,17662,"United States","01000US","united-states",0.06683938094618261
8,"$45,000-$49,999",2017,"2017",4725195,16890,"United States","01000US","united-states",0.03976569220111494
6,"$35,000-$39,999",2017,"2017",1896,416,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.040116795734416656
9,"$50,000-$59,999",2017,"2017",9181800,20965,"United States","01000US","united-states",0.07727101900602984
5,"$30,000-$34,999",2017,"2017",2258,380,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.0477762261436249
10,"$60,000-$74,999",2017,"2017",11818514,30722.999999999996,"United States","01000US","united-states",0.0994607397152007
4,"$25,000-$29,999",2017,"2017",2490,390,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.052685032372730735
11,"$75,000-$99,999",2017,"2017",14636046,49159,"United States","01000US","united-states",0.12317216544023252
3,"$20,000-$24,999",2017,"2017",2102,364,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.04447547712750201
